  1,           0.,           0.
      2,           1.,           0.
      3,           2.,           0.
      4,           3.,           0.
      5,           4.,           0.
      6,           5.,           0.
      7,           6.,           0.
      8,           7.,           0.
      9,           8.,           0.
     10,           9.,           0.
     11,          10.,           0.
     12,           0.,           1.
     13,           1.,           1.
     14,           2.,           1.
     15,           3.,           1.
     16,           4.,           1.
     17,           5.,           1.
     18,           6.,           1.
     19,           7.,           1.
     20,           8.,           1.
     21,           9.,           1.
     22,          10.,           1.
     23,           0.,           2.
     24,           1.,           2.
     25,           2.,           2.
     26,           3.,           2.
     27,           4.,           2.
     28,           5.,           2.
     29,           6.,           2.
     30,           7.,           2.
     31,           8.,           2.
     32,           9.,           2.
     33,          10.,           2.
     34,           0.,           3.
     35,           1.,           3.
     36,           2.,           3.
     37,           3.,           3.
     38,           4.,           3.
     39,           5.,           3.
     40,           6.,           3.
     41,           7.,           3.
     42,           8.,           3.
     43,           9.,           3.
     44,          10.,           3.
     45,           0.,           4.
     46,           1.,           4.
     47,           2.,           4.
     48,           3.,           4.
     49,           4.,           4.
     50,           5.,           4.
     51,           6.,           4.
     52,           7.,           4.
     53,           8.,           4.
     54,           9.,           4.
     55,          10.,           4.
     56,           0.,           5.
     57,           1.,           5.
     58,           2.,           5.
     59,           3.,           5.
     60,           4.,           5.
     61,           5.,           5.
     62,           6.,           5.
     63,           7.,           5.
     64,           8.,           5.
     65,           9.,           5.
     66,          10.,           5.
